;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;IDIOMA;RENDA;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS
78;4;0;4;1;1;1;357.0;414.4;465.7;316.8;120.0;120.0;80.0;120.0;60.0;500.0;410.78
79;3;1;4;1;0;1;382.7;560.3;553.4;572.7;100.0;40.0;100.0;120.0;120.0;480.0;509.82
80;1;0;4;0;1;0;514.1;569.4;542.7;545.1;120.0;120.0;120.0;120.0;120.0;600.0;554.26
81;3;0;1;1;0;2;511.7;700.4;694.4;608.0;160.0;200.0;200.0;180.0;180.0;920.0;686.9
82;1;0;4;0;1;0;506.1;356.6;525.8;460.1;120.0;160.0;120.0;120.0;180.0;700.0;509.72
83;12;0;4;0;0;1;390.11583554045103;412.7879060169403;390.4;370.6;60.0;100.0;40.0;80.0;20.0;300.0;212.2
84;2;0;5;1;1;2;432.4131406332021;561.786085499753;504.4;573.1;120.0;160.0;120.0;80.0;80.0;560.0;327.5
85;3;0;4;1;0;1;428.4;440.3;348.1;375.7;120.0;120.0;100.0;100.0;80.0;520.0;422.5
86;4;0;1;1;0;8;580.7;658.3;664.6;657.2;160.0;200.0;160.0;180.0;180.0;880.0;688.1600000000001
87;0;0;4;0;0;3;580.7;553.7;592.0;533.1;120.0;200.0;120.0;160.0;200.0;800.0;611.9
88;6;0;5;1;0;0;469.6429039621687;586.9065860094031;601.9;483.8;120.0;160.0;120.0;120.0;120.0;640.0;345.14
89;0;0;1;0;1;1;432.8;484.5;392.0;442.6;0.0;0.0;0.0;0.0;0.0;0.0;350.38
90;11;0;4;1;1;2;432.9;408.0;536.8;469.0;100.0;140.0;100.0;120.0;120.0;580.0;485.34
91;0;0;1;0;0;3;510.5;494.0;544.6;580.9;100.0;180.0;120.0;120.0;80.0;600.0;546.0
92;6;0;5;1;0;5;364.8;554.3;381.5;405.9;160.0;200.0;180.0;200.0;160.0;900.0;521.3
93;1;0;1;0;0;2;455.3;444.0;406.0;349.1;80.0;120.0;80.0;120.0;120.0;520.0;434.88
94;8;1;4;1;0;1;468.3;423.2;385.0;385.3;80.0;40.0;40.0;100.0;40.0;300.0;392.36
95;3;1;1;1;1;2;543.2;465.0;544.5;565.8;120.0;140.0;120.0;140.0;140.0;660.0;555.7
96;5;1;1;1;1;3;450.9;602.4;544.5;518.9;140.0;200.0;140.0;120.0;160.0;760.0;575.3399999999999
97;1;1;1;1;1;8;499.8;474.4;508.6;547.5;160.0;200.0;140.0;180.0;160.0;840.0;574.0600000000001
98;1;1;1;0;0;1;428.6;466.1;481.9;502.7;120.0;120.0;100.0;120.0;140.0;600.0;495.86
99;18;0;1;0;1;7;527.3;517.2;542.9;530.2;120.0;180.0;120.0;140.0;140.0;700.0;563.52
100;0;0;3;0;0;4;420.1;418.9;457.3;488.6;120.0;120.0;120.0;140.0;140.0;640.0;484.98
101;0;1;4;1;1;1;519.8;643.6;597.3;540.6;140.0;180.0;140.0;160.0;160.0;780.0;616.26
102;0;1;4;0;0;3;467.3;457.9;519.5;545.6;100.0;120.0;120.0;100.0;80.0;520.0;502.06000000000006
103;1;0;1;1;1;1;514.7;559.6;513.3;456.1;160.0;120.0;80.0;120.0;160.0;640.0;536.74
104;11;0;1;1;0;0;529.5;626.6;601.0;448.0;120.0;200.0;120.0;160.0;180.0;780.0;597.02
105;12;0;4;1;0;1;372.0;490.4;404.2;421.8;60.0;120.0;80.0;100.0;0.0;360.0;409.68
106;1;0;4;1;0;4;552.1;592.3;357.1;544.8;100.0;200.0;160.0;200.0;200.0;860.0;581.26
107;6;1;4;1;0;2;537.2;470.1;643.3;574.5;120.0;120.0;120.0;120.0;80.0;560.0;557.02
108;3;0;0;1;1;1;444.0;629.1;575.2;551.5;120.0;120.0;120.0;120.0;160.0;640.0;567.96
109;0;1;4;0;0;2;530.1;521.6;528.2;532.3;100.0;200.0;100.0;120.0;140.0;660.0;554.44
110;1;1;1;0;1;2;505.1;595.6;503.5;491.5;120.0;120.0;120.0;120.0;120.0;600.0;539.14
111;3;0;4;1;1;1;403.6;404.6;451.8;470.8;120.0;120.0;100.0;120.0;20.0;480.0;442.16
112;3;1;1;1;1;2;517.2;553.9;561.1;467.2;100.0;160.0;100.0;120.0;180.0;660.0;551.88
113;3;1;5;1;0;1;403.6;459.7;511.7;452.9;80.0;80.0;80.0;80.0;160.0;480.0;461.58
114;2;1;5;0;1;1;468.6;440.1;426.7;416.0;100.0;40.0;40.0;120.0;40.0;340.0;418.28
115;1;0;1;0;0;1;441.8;477.3;575.1;509.5;140.0;120.0;100.0;100.0;140.0;600.0;520.74
116;1;1;1;0;1;2;573.8;533.7;573.6;540.4;140.0;120.0;140.0;160.0;200.0;760.0;596.3
117;2;0;4;1;0;0;453.3;458.7;399.1;335.9;100.0;40.0;40.0;100.0;40.0;320.0;393.4
118;1;0;4;0;0;3;408.3793683943966;423.9817610399942;417.0;405.6;120.0;120.0;100.0;120.0;0.0;460.0;256.52
119;1;0;0;1;0;6;440.2;602.4;339.3;563.6;140.0;200.0;160.0;180.0;200.0;880.0;565.1
120;11;0;0;1;0;1;406.2813788806969;476.8743083326855;402.2;386.9;80.0;120.0;80.0;120.0;80.0;480.0;253.82
121;1;1;3;0;1;1;489.3;491.7;485.3;401.0;160.0;200.0;180.0;180.0;200.0;920.0;557.46
122;2;1;4;1;1;6;467.6544364246959;471.52770871368;358.9;424.4;100.0;120.0;120.0;140.0;120.0;600.0;276.66
123;2;0;4;0;0;4;407.3;431.4;433.5;515.2;80.0;120.0;80.0;100.0;0.0;380.0;433.48
124;1;1;1;1;1;7;679.0;759.3;682.8;578.1;160.0;160.0;160.0;200.0;200.0;880.0;715.8399999999999
125;4;1;0;1;0;1;511.0;511.8;571.6;469.4;120.0;140.0;120.0;100.0;120.0;600.0;532.76
126;1;0;4;0;1;1;420.8613169274818;550.2440097969161;438.3;430.1;120.0;120.0;120.0;120.0;100.0;580.0;289.68
127;9;0;4;1;1;1;536.5;667.8;542.4;519.9;120.0;120.0;120.0;120.0;20.0;500.0;553.32
128;0;0;4;0;1;1;432.0;562.3;567.1;518.0;120.0;200.0;140.0;120.0;180.0;760.0;567.88
129;2;0;4;1;0;0;427.2;468.7;479.1;396.9;120.0;120.0;100.0;120.0;120.0;580.0;470.38
130;1;0;4;1;1;5;569.0;615.0;609.6;627.5;140.0;180.0;120.0;140.0;100.0;680.0;620.22
131;2;0;1;1;0;1;472.0806784041422;542.6817038403376;485.9;513.1;100.0;120.0;100.0;100.0;0.0;420.0;283.8
132;6;0;4;1;1;1;608.2;452.1;681.9;594.7;160.0;200.0;180.0;200.0;180.0;920.0;651.38
133;3;0;4;1;0;1;398.6;428.7;507.2;346.4;100.0;120.0;100.0;120.0;100.0;540.0;444.18
134;1;0;4;1;1;2;416.4;415.2;339.4;506.9;140.0;120.0;100.0;100.0;100.0;560.0;447.58
135;1;1;4;0;0;1;443.3110226364541;433.6738031568483;0.0;0.0;120.0;120.0;120.0;120.0;140.0;620.0;124.0
136;10;0;4;1;0;1;401.93528132896967;447.0477536828201;368.0;402.2;100.0;120.0;100.0;120.0;100.0;540.0;262.04
137;1;0;1;0;1;0;361.4;390.8;408.7;396.5;100.0;120.0;100.0;120.0;80.0;520.0;415.48
138;6;0;4;1;1;1;410.8;387.5;492.4;408.8;120.0;120.0;120.0;120.0;100.0;580.0;455.9
139;2;0;1;1;0;1;455.3;630.3;566.0;532.3;140.0;200.0;120.0;120.0;100.0;680.0;572.78
140;1;1;4;1;1;6;493.8;669.0;553.4;548.1;120.0;120.0;120.0;120.0;140.0;620.0;576.86
141;3;1;4;1;1;5;518.0;526.6;468.2;565.3;100.0;120.0;120.0;120.0;120.0;580.0;531.62
142;0;0;1;0;0;1;433.3399411627754;461.5080995627375;429.0;374.2;100.0;160.0;120.0;120.0;0.0;500.0;260.64
143;0;0;4;0;1;1;406.9;442.2;524.5;399.2;100.0;120.0;100.0;120.0;60.0;500.0;454.56000000000006
144;4;1;5;1;1;1;395.88819976374526;400.394522705412;416.1;400.7;0.0;0.0;0.0;0.0;0.0;0.0;163.36
145;0;0;4;0;1;1;436.3;569.6;552.0;550.7;120.0;120.0;100.0;120.0;140.0;600.0;541.72
146;11;0;4;1;0;3;458.39942548376894;529.5479514774577;523.3;413.6;120.0;120.0;120.0;140.0;120.0;620.0;311.38
147;0;0;4;0;0;1;525.0;437.5;583.7;511.8;140.0;200.0;160.0;160.0;140.0;800.0;571.6
148;5;1;4;1;0;4;587.9;671.7;526.4;537.8;120.0;120.0;140.0;120.0;100.0;600.0;584.76
149;1;1;4;1;1;5;427.8;472.6;501.0;520.7;80.0;120.0;100.0;80.0;120.0;500.0;484.42
150;1;0;1;0;0;1;445.6660351822078;437.5752119908884;444.9;395.2;0.0;0.0;0.0;0.0;0.0;0.0;168.01999999999998
151;1;1;4;1;1;8;619.6;645.0;500.1;536.3;120.0;180.0;120.0;120.0;100.0;640.0;588.2
152;1;0;4;1;0;6;460.9;374.2;375.7;454.6;120.0;120.0;120.0;120.0;100.0;580.0;449.08
153;9;1;4;0;1;0;516.0;484.0;572.6;505.9;140.0;120.0;120.0;160.0;140.0;680.0;551.7
154;0;0;4;0;1;2;466.2;542.0;443.3;471.7;120.0;120.0;100.0;100.0;140.0;580.0;500.64
155;9;1;4;1;1;2;570.4;687.0;604.9;558.3;140.0;180.0;140.0;140.0;160.0;760.0;636.12
156;9;1;4;1;0;1;384.5;425.1;409.5;387.9;60.0;120.0;80.0;100.0;120.0;480.0;417.4
157;2;0;5;1;0;1;433.3;409.1;428.7;452.0;100.0;100.0;80.0;80.0;0.0;360.0;416.62
158;0;1;0;0;1;2;575.5;569.8;624.4;572.7;160.0;200.0;140.0;160.0;160.0;820.0;632.48
159;3;1;5;1;1;2;485.2;524.6;495.9;537.7;120.0;120.0;100.0;100.0;0.0;440.0;496.68
160;1;0;3;1;1;14;695.8;806.4;674.7;589.6;180.0;200.0;200.0;200.0;180.0;960.0;745.3
161;1;1;3;0;1;0;438.8;459.1;391.5;372.6;100.0;120.0;120.0;120.0;100.0;560.0;444.4
162;1;1;2;0;0;0;491.0;565.6;561.6;515.3;160.0;200.0;180.0;180.0;180.0;900.0;606.7
163;2;0;1;1;1;1;476.6;461.0;609.0;542.2;100.0;120.0;120.0;120.0;120.0;580.0;533.76
164;5;1;4;1;0;1;470.6;476.7;609.3;481.2;120.0;120.0;80.0;120.0;100.0;540.0;515.5600000000001
165;1;0;1;1;1;11;617.4;656.5;631.7;582.3;160.0;120.0;120.0;160.0;160.0;720.0;641.58
166;9;1;5;1;1;1;537.2;664.8;601.0;569.8;120.0;120.0;120.0;120.0;100.0;580.0;590.5600000000001
167;5;0;4;1;1;1;406.4;464.4;369.2;369.1;160.0;120.0;100.0;100.0;40.0;520.0;425.82
168;3;0;1;1;1;1;580.759581298839;668.9768615873629;637.3;591.4;120.0;180.0;120.0;160.0;140.0;720.0;389.74
169;3;1;5;1;0;1;360.0;514.5;427.0;412.9;140.0;140.0;120.0;120.0;100.0;620.0;466.88
170;1;1;1;1;1;1;524.2;679.4;536.2;546.5;120.0;160.0;120.0;120.0;160.0;680.0;593.26
171;15;0;4;1;1;4;500.3;474.7;421.2;471.2;120.0;200.0;100.0;120.0;80.0;620.0;497.48
172;0;1;4;0;1;2;402.6;446.6;467.7;494.3;160.0;200.0;160.0;180.0;140.0;840.0;530.24
173;5;0;4;1;0;3;437.0;417.8;440.3;384.3;120.0;120.0;80.0;120.0;60.0;500.0;435.88
174;0;0;2;0;0;1;511.5;397.3;364.1;474.4;120.0;160.0;120.0;180.0;160.0;740.0;497.46
175;1;1;4;0;1;2;461.9;605.6;498.5;551.9;120.0;180.0;120.0;120.0;120.0;660.0;555.58
176;2;0;4;1;0;1;416.1;384.8;339.8;445.0;160.0;200.0;160.0;160.0;200.0;880.0;493.14
177;2;1;1;0;1;5;542.9;622.2;557.8;499.2;120.0;120.0;120.0;120.0;100.0;580.0;560.42
178;12;0;4;1;1;2;505.8;613.9;609.4;555.9;140.0;180.0;120.0;100.0;120.0;660.0;589.0
179;4;0;1;1;0;1;407.9;428.5;501.9;540.6;100.0;120.0;120.0;120.0;40.0;500.0;475.78
180;10;0;4;1;0;3;399.4;441.1;497.2;480.9;100.0;100.0;100.0;80.0;0.0;380.0;439.72
181;0;0;1;0;1;1;487.0;543.8;368.0;462.4;120.0;180.0;140.0;120.0;180.0;740.0;520.24
