NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO
470.3;487.3;471.6;454.0;100.0;160.0;100.0;160.0;160.0;680.0
462.7;412.9;414.9;440.7;100.0;120.0;100.0;100.0;100.0;520.0
458.4;542.1;526.8;590.2;140.0;200.0;160.0;140.0;160.0;800.0
487.7;370.5;375.4;433.9;140.0;120.0;120.0;160.0;140.0;680.0
400.7;610.8;518.2;517.1;120.0;120.0;100.0;120.0;120.0;580.0
515.9;544.4;526.6;582.4;120.0;140.0;120.0;120.0;100.0;600.0
426.6;513.1;476.1;395.8;120.0;200.0;160.0;200.0;160.0;840.0
704.9;698.5;648.8;819.9;160.0;200.0;180.0;180.0;200.0;920.0
547.1;569.7;588.3;675.7;100.0;120.0;120.0;100.0;80.0;520.0
471.1;384.3;358.0;427.7;80.0;120.0;80.0;100.0;80.0;460.0
435.4;486.7;439.6;429.7;120.0;120.0;120.0;120.0;120.0;600.0
469.6;597.3;449.7;684.2;140.0;120.0;160.0;140.0;200.0;760.0
559.8;588.2;586.7;595.9;120.0;120.0;120.0;100.0;80.0;540.0
530.0;466.7;530.6;495.4;140.0;180.0;120.0;120.0;140.0;700.0
370.4;393.0;457.4;568.6;120.0;120.0;80.0;120.0;160.0;600.0
599.5;638.2;583.2;757.4;160.0;200.0;180.0;180.0;200.0;920.0
476.6;542.9;513.5;380.8;120.0;120.0;100.0;120.0;100.0;560.0
599.9;636.6;608.6;661.5;160.0;200.0;140.0;200.0;120.0;820.0
524.9;571.9;538.9;578.6;140.0;200.0;120.0;160.0;120.0;740.0
582.5;490.4;569.8;512.6;140.0;200.0;140.0;160.0;160.0;800.0
354.8;389.8;385.8;444.4;120.0;120.0;80.0;120.0;40.0;480.0
389.2;376.0;422.1;373.8;120.0;120.0;120.0;120.0;140.0;620.0
491.5;570.2;548.1;582.5;160.0;180.0;120.0;120.0;180.0;760.0
453.7;535.0;445.9;470.9;120.0;160.0;120.0;160.0;120.0;680.0
406.0;366.9;361.1;466.7;100.0;120.0;120.0;120.0;0.0;460.0
404.0;404.7;496.4;497.4;100.0;120.0;120.0;120.0;100.0;560.0
592.6;368.6;534.4;611.3;120.0;120.0;100.0;100.0;120.0;560.0
532.8;567.2;517.0;502.8;140.0;160.0;120.0;120.0;140.0;680.0
390.6;406.7;359.5;387.9;80.0;100.0;100.0;120.0;60.0;460.0
437.0;572.1;490.9;446.6;140.0;120.0;120.0;160.0;120.0;660.0
497.3;638.4;538.8;496.7;160.0;200.0;160.0;140.0;200.0;860.0
494.7;406.9;508.0;500.9;120.0;180.0;120.0;120.0;80.0;620.0
535.4;590.3;554.7;517.1;140.0;200.0;140.0;160.0;180.0;820.0
519.2;720.1;525.4;604.2;140.0;180.0;140.0;160.0;140.0;760.0
473.1;390.0;530.5;540.2;80.0;160.0;80.0;120.0;200.0;640.0
502.4;523.1;448.9;498.6;140.0;120.0;140.0;160.0;140.0;700.0
657.2;655.6;645.5;631.9;140.0;160.0;140.0;180.0;160.0;780.0
438.8;528.9;531.4;447.2;0.0;0.0;0.0;0.0;0.0;0.0
495.9;588.5;603.4;549.6;100.0;200.0;120.0;120.0;180.0;720.0
401.7;440.9;473.5;498.9;0.0;0.0;0.0;0.0;0.0;0.0
630.7;754.1;740.3;814.6;160.0;200.0;160.0;200.0;200.0;920.0
511.0;553.7;547.9;679.8;160.0;200.0;160.0;180.0;200.0;900.0
367.8;416.8;370.4;402.6;0.0;0.0;0.0;0.0;0.0;0.0
446.2;466.9;435.9;562.4;120.0;120.0;140.0;120.0;80.0;580.0
360.1;472.0;440.8;504.1;100.0;120.0;120.0;120.0;160.0;620.0
368.5;360.8;425.5;411.4;120.0;140.0;120.0;120.0;140.0;640.0
