;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;mun;NO_MUNICIPIO_PROVA;IDIOMA;STATUS DA REDAÇÃO;RENDA;INTERNET;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS;PRESENCA
983;20 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2613701;São Lourenço da Mata;Espanhol;Sem problemas;0.5;Sim;414.9;487.1;570.1;409.8;120.0;160.0;120.0;140.0;140.0;680.0;512.38;4
984;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2610905;Pesqueira;Inglês;Sem problemas;1.5;Sim;528.4;517.4;328.9;488.7;140.0;200.0;140.0;140.0;120.0;740.0;520.6800000000001;4
985;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;0.5;Sim;438.9;466.0;418.6;470.4;140.0;120.0;120.0;120.0;0.0;500.0;458.78000000000003;4
986;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2610707;Paulista;Inglês;Sem problemas;1.5;Sim;384.1;610.0;441.3;408.3;140.0;120.0;140.0;160.0;120.0;680.0;504.73999999999995;4
987;18 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2610905;Pesqueira;Espanhol;Sem problemas;0.5;Sim;353.3;438.5;475.3;438.1;100.0;120.0;100.0;120.0;0.0;440.0;429.03999999999996;4
988;24 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;0.5;Sim;518.2;495.3;560.2;530.3;120.0;120.0;120.0;120.0;160.0;640.0;548.8;4
989;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2616407;Vitória de Santo Antão;Inglês;Sem problemas;0.5;Sim;544.4;466.8;536.3;539.0;160.0;200.0;180.0;180.0;180.0;900.0;597.3;4
990;21 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;0.5;Sim;552.1;444.4;535.4;475.5;100.0;120.0;120.0;120.0;100.0;560.0;513.48;4
991;22 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2606408;Gravatá;Espanhol;Sem problemas;0.5;Sim;505.6;458.2;600.1;539.3;120.0;120.0;120.0;120.0;140.0;620.0;544.64;4
992;21 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2609907;Ouricuri;Espanhol;Sem problemas;0.5;Sim;467.3;564.5;384.7;310.6;80.0;120.0;80.0;120.0;100.0;500.0;445.41999999999996;4
993;18 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2607653;Itambé;Inglês;Sem problemas;0.5;Sim;445.4;466.3;509.7;390.4;80.0;120.0;80.0;100.0;120.0;500.0;462.36;4
