;FAIXA ETÁRIA;SEXO;COR/RAÇA;SITUAÇÃO DE CONCLUSÃO;TIPO DE ESCOLA;LOCALIZAÇÃO DA ESCOLA;mun;NO_MUNICIPIO_PROVA;IDIOMA;STATUS DA REDAÇÃO;RENDA;INTERNET;NOTA_CN;NOTA_MT;NOTA_CH;NOTA_LC;NOTA_COMP1;NOTA_COMP2;NOTA_COMP3;NOTA_COMP4;NOTA_COMP5;NOTA_REDACAO;NOTAS;PRESENCA
2497;21 anos;F;Amarela;Já concluí o EM;Não respondeu;Não Consta;2611804;Ribeirão;Inglês;Sem problemas;0.5;Sim;505.838762328918;601.0393550293904;583.5;571.2;100.0;180.0;80.0;120.0;160.0;640.0;358.94;2
2498;17 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2614501;Surubim;Inglês;Sem problemas;6.0;Sim;601.2;673.6;598.6;516.4;120.0;140.0;120.0;120.0;80.0;580.0;593.96;4
2499;19 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611101;Petrolina;Inglês;Sem problemas;0.5;Sim;588.3;689.9;566.6;556.4;100.0;120.0;100.0;120.0;20.0;460.0;572.24;4
2500;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2602902;Cabo de Santo Agostinho;Inglês;Sem problemas;0.5;Sim;400.5;372.1;428.6;405.8;100.0;120.0;80.0;60.0;20.0;380.0;397.4;4
2501;20 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Rural;2604007;Carpina;Inglês;Sem problemas;1.5;Sim;511.5;520.9;610.3;517.2;120.0;120.0;120.0;120.0;20.0;500.0;531.98;4
2502;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;2.5;Sim;552.0;465.2;428.4;507.2;100.0;120.0;100.0;100.0;100.0;520.0;494.56000000000006;4
2503;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;0.5;Sim;405.2449438095055;463.5336365448021;515.3;437.5;120.0;160.0;100.0;120.0;120.0;620.0;314.56;2
2504;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;5.0;Sim;408.6;423.7;422.8;591.6;120.0;180.0;160.0;160.0;200.0;820.0;533.3399999999999;4
2505;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2602902;Cabo de Santo Agostinho;Inglês;Sem problemas;0.5;Sim;488.6;501.5;502.7;559.7;120.0;120.0;120.0;120.0;180.0;660.0;542.5;4
2506;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;405.8;549.9;448.7;461.6;120.0;120.0;100.0;120.0;100.0;560.0;485.2;4
2507;19 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2606002;Garanhuns;Inglês;Sem problemas;0.5;Sim;363.6;398.8;386.2;417.8;80.0;120.0;80.0;100.0;0.0;380.0;389.28000000000003;4
2508;18 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2601102;Araripina;Espanhol;Sem problemas;2.0;Sim;481.7;536.8;540.6;459.2;140.0;120.0;120.0;140.0;160.0;680.0;539.6600000000001;4
2509;20 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2614600;Tabira;Inglês;Sem problemas;0.5;Sim;450.3;395.7;443.2;460.1;120.0;120.0;120.0;120.0;120.0;600.0;469.86;4
2510;17 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;6.0;Sim;742.7;885.9;663.0;646.6;160.0;200.0;160.0;160.0;160.0;840.0;755.64;4
2511;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;1.0;Sim;468.6;641.3;540.0;545.6;160.0;200.0;160.0;160.0;200.0;880.0;615.1;4
2512;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2606804;Igarassu;Espanhol;Sem problemas;0.5;Sim;393.1;445.3;403.3;389.7;80.0;80.0;100.0;100.0;40.0;400.0;406.28000000000003;4
2513;19 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611606;Recife;Inglês;Sem problemas;0.5;Sim;418.1;550.0;572.9;491.2;120.0;120.0;120.0;160.0;60.0;580.0;522.4399999999999;4
2514;18 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611101;Petrolina;Inglês;Sem problemas;0.5;Sim;345.5;612.6;418.6;347.2;80.0;120.0;120.0;100.0;80.0;500.0;444.78000000000003;4
2515;18 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Rural;2616407;Vitória de Santo Antão;Espanhol;Sem problemas;2.0;Sim;623.7;750.2;641.6;599.1;140.0;120.0;140.0;140.0;180.0;720.0;666.9200000000001;4
2516;Menor de 17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2608800;Lajedo;Espanhol;Sem problemas;0.0;Sim;471.9;400.5;486.6;512.0;120.0;120.0;100.0;60.0;0.0;400.0;454.2;4
2517;Entre 26 e 30 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.5;Sim;643.1;698.3;615.8;585.0;180.0;200.0;180.0;200.0;200.0;960.0;700.4399999999999;4
2518;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2604205;Catende;Inglês;Sem problemas;0.0;Sim;413.5;384.8;417.4;397.7;120.0;100.0;80.0;100.0;0.0;400.0;402.68;4
2519;19 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Espanhol;Sem problemas;3.0;Sim;601.9;704.5;599.2;588.2;140.0;180.0;120.0;120.0;140.0;700.0;638.76;4
2520;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2601706;Belo Jardim;Inglês;Sem problemas;1.5;Sim;604.8;737.6;684.6;633.1;160.0;200.0;120.0;160.0;200.0;840.0;700.02;4
2521;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2603009;Cabrobó;Espanhol;Sem problemas;0.5;Sim;386.1;388.7;429.2;331.2;80.0;60.0;60.0;80.0;20.0;300.0;367.04;4
2522;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2610608;Paudalho;Inglês;Sem problemas;0.5;Não;384.8;617.0;506.6;492.3;140.0;200.0;160.0;200.0;180.0;880.0;576.14;4
2523;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611101;Petrolina;Espanhol;Sem problemas;0.5;Sim;554.6;637.7;573.5;502.9;160.0;200.0;160.0;180.0;200.0;900.0;633.74;4
2524;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2613008;São Bento do Una;Espanhol;Sem problemas;1.5;Sim;379.8;409.8;419.0;399.8;120.0;40.0;40.0;100.0;40.0;340.0;389.68;4
2525;19 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2609402;Moreno;Inglês;Sem problemas;0.0;Sim;432.8375420521483;476.8583450305144;541.9;493.9;120.0;120.0;100.0;120.0;120.0;580.0;323.15999999999997;2
2526;19 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2604106;Caruaru;Inglês;Sem problemas;0.5;Sim;545.5;570.6;588.9;560.6;120.0;180.0;120.0;140.0;80.0;640.0;581.12;4
2527;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2610707;Paulista;Inglês;Sem problemas;2.5;Sim;397.2;525.7;431.0;486.7;120.0;200.0;120.0;120.0;180.0;740.0;516.1200000000001;4
2528;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2602209;Bom Jardim;Espanhol;Sem problemas;0.5;Sim;539.5;629.5;617.4;471.2;160.0;180.0;120.0;160.0;120.0;740.0;599.5200000000001;4
2529;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2606002;Garanhuns;Espanhol;Sem problemas;0.5;Sim;583.9;586.4;644.4;614.6;140.0;200.0;180.0;200.0;160.0;880.0;661.86;4
2530;21 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2609907;Ouricuri;Inglês;Sem problemas;1.5;Sim;496.1;584.6;591.7;582.6;160.0;200.0;160.0;200.0;200.0;920.0;635.0;4
2531;20 anos;M;Preta;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2609501;Nazaré da Mata;Espanhol;Sem problemas;0.5;Sim;474.3;447.7;445.7;463.4;100.0;100.0;100.0;120.0;40.0;460.0;458.2200000000001;4
2532;20 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2606002;Garanhuns;Inglês;Sem problemas;9.0;Sim;615.7;540.4;659.7;633.2;140.0;180.0;100.0;120.0;180.0;720.0;633.8;4
2533;21 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2609907;Ouricuri;Espanhol;Sem problemas;0.0;Sim;502.3;413.9;586.6;540.7;120.0;180.0;100.0;160.0;200.0;760.0;560.7;4
2534;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2601102;Araripina;Inglês;Sem problemas;0.5;Não;398.6;472.9;470.5;422.9;120.0;120.0;100.0;120.0;120.0;580.0;468.98;4
2535;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2613008;São Bento do Una;Inglês;Sem problemas;0.5;Não;424.3;435.7;553.3;460.9;120.0;120.0;100.0;120.0;140.0;600.0;494.84;4
2536;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;8.0;Sim;553.8;509.6;573.2;563.2;120.0;140.0;160.0;140.0;120.0;680.0;575.96;4
2537;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;3.0;Sim;540.2;718.9;564.5;537.8;140.0;200.0;140.0;160.0;200.0;840.0;640.28;4
2538;18 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;9.0;Sim;657.8;672.0;624.4;637.7;120.0;180.0;120.0;140.0;160.0;720.0;662.38;4
2539;18 anos;M;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2609600;Olinda;Inglês;Sem problemas;1.5;Sim;430.6;459.6;514.4;539.2;120.0;120.0;120.0;80.0;100.0;540.0;496.76000000000005;4
2540;19 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Espanhol;Fuga ao tema;0.5;Sim;434.0157651370943;481.001889940711;0.0;509.9;0.0;0.0;0.0;0.0;0.0;0.0;101.97999999999999;2
2541;19 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2604106;Caruaru;Espanhol;Sem problemas;0.5;Sim;354.6;379.6;444.3;424.7;80.0;120.0;80.0;80.0;80.0;440.0;408.6400000000001;4
2542;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2609600;Olinda;Espanhol;Sem problemas;1.0;Sim;446.4;446.7;464.2;524.6;120.0;140.0;120.0;120.0;160.0;660.0;508.38;4
2543;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;0.5;Sim;433.0;523.9;386.1;466.3;100.0;140.0;100.0;120.0;100.0;560.0;473.86;4
2544;Menor de 17 anos;F;Parda;Não concluí e não estou cursando o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;5.0;Sim;535.0;579.7;626.7;554.7;140.0;200.0;160.0;160.0;200.0;860.0;631.22;4
2545;18 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2603454;Camaragibe;Espanhol;Sem problemas;1.5;Sim;381.0;483.3;507.1;495.7;120.0;120.0;120.0;120.0;120.0;600.0;493.41999999999996;4
2546;21 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;15.0;Sim;524.5632365864743;529.8827834031034;603.0;538.2;120.0;120.0;120.0;140.0;140.0;640.0;356.24;2
2547;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2612208;Salgueiro;Espanhol;Sem problemas;0.5;Sim;399.88573653235454;599.0661276557194;433.7;425.5;160.0;120.0;140.0;140.0;100.0;660.0;303.84000000000003;2
2548;19 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2610509;Passira;Inglês;Sem problemas;0.0;Não;432.2;397.0;503.2;415.4;80.0;120.0;100.0;80.0;80.0;460.0;441.56000000000006;4
2549;21 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2602100;Bom Conselho;Inglês;Sem problemas;1.0;Sim;366.9;556.9;340.6;409.5;120.0;120.0;100.0;120.0;80.0;540.0;442.78000000000003;4
2550;20 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;461.9;527.6;485.8;467.4;80.0;120.0;120.0;120.0;120.0;560.0;500.53999999999996;4
2551;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2601706;Belo Jardim;Espanhol;Sem problemas;0.0;Sim;436.7;436.7;492.1;468.9;120.0;120.0;100.0;120.0;80.0;540.0;474.88;4
2552;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2607653;Itambé;Inglês;Sem problemas;2.5;Sim;542.0;667.7;619.3;592.4;100.0;200.0;120.0;100.0;120.0;640.0;612.28;4
2553;Entre 31 e 35 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611903;Rio Formoso;Espanhol;Fuga ao tema;3.0;Sim;434.5317395308953;459.263817984588;381.2;440.5;0.0;0.0;0.0;0.0;0.0;0.0;164.34;2
2554;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2613909;Serra Talhada;Espanhol;Sem problemas;0.5;Sim;596.1;590.8;538.8;517.6;140.0;180.0;180.0;180.0;160.0;840.0;616.6600000000001;4
2555;22 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2609907;Ouricuri;Inglês;Sem problemas;0.5;Sim;472.0;542.9;525.1;506.6;160.0;200.0;120.0;180.0;200.0;860.0;581.3199999999999;4
2556;17 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;15.0;Sim;506.1;747.6;560.0;514.4;140.0;120.0;160.0;160.0;180.0;760.0;617.62;4
2557;Entre 26 e 30 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2609600;Olinda;Inglês;Sem problemas;3.0;Sim;689.8;731.5;713.5;613.7;160.0;180.0;160.0;160.0;180.0;840.0;717.7;4
2558;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611101;Petrolina;Espanhol;Fuga ao tema;0.5;Sim;381.2199779194528;456.18581609224753;465.2;349.9;0.0;0.0;0.0;0.0;0.0;0.0;163.01999999999998;2
2559;Entre 31 e 35 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;0.5;Sim;566.6;461.1;622.8;576.1;120.0;160.0;120.0;120.0;140.0;660.0;577.3199999999999;4
2560;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;12.0;Sim;596.1;764.8;625.6;571.1;160.0;200.0;180.0;180.0;200.0;920.0;695.5200000000001;4
2561;Entre 31 e 35 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2602902;Cabo de Santo Agostinho;Espanhol;Sem problemas;1.5;Sim;637.8;665.3;691.8;588.8;160.0;200.0;180.0;200.0;160.0;900.0;696.74;4
2562;23 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.5;Sim;424.2;560.7;450.0;487.8;120.0;120.0;120.0;100.0;140.0;600.0;504.53999999999996;4
2563;18 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;0.5;Sim;565.4;601.1;533.0;583.9;120.0;120.0;120.0;140.0;140.0;640.0;584.6800000000001;4
2564;19 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;2606002;Garanhuns;Espanhol;Sem problemas;1.0;Sim;461.9;453.5;494.8;495.1;100.0;120.0;120.0;120.0;100.0;560.0;493.06000000000006;4
2565;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2604106;Caruaru;Inglês;Sem problemas;0.5;Não;466.0;488.6;562.0;530.7;120.0;160.0;120.0;140.0;180.0;720.0;553.46;4
2566;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;6.0;Sim;657.9;764.2;680.0;645.4;180.0;200.0;160.0;180.0;200.0;920.0;733.5;4
2567;18 anos;M;Preta;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;6.0;Sim;549.6;668.5;630.8;542.1;160.0;200.0;120.0;200.0;180.0;860.0;650.2;4
2568;20 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;1.5;Sim;433.2;618.6;460.0;485.3;100.0;120.0;80.0;100.0;80.0;480.0;495.41999999999996;4
2569;Entre 26 e 30 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2612208;Salgueiro;Espanhol;Sem problemas;0.0;Sim;509.6;405.8;484.3;393.7;120.0;120.0;120.0;120.0;20.0;500.0;458.68;4
2570;18 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;502.2;433.2;467.9;441.1;120.0;120.0;120.0;120.0;120.0;600.0;488.88;4
2571;18 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;1.0;Sim;447.3;492.1;610.4;536.9;120.0;160.0;120.0;160.0;80.0;640.0;545.3399999999999;4
2572;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;12.0;Sim;464.8;702.9;523.0;474.2;160.0;200.0;160.0;180.0;180.0;880.0;608.98;4
2573;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2616407;Vitória de Santo Antão;Espanhol;Sem problemas;0.5;Não;426.2075822922378;434.0897020248752;402.3;429.5;60.0;100.0;80.0;80.0;0.0;320.0;230.35999999999999;2
2574;20 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2608800;Lajedo;Inglês;Parte desconectada;0.0;Sim;437.4357270408238;506.7324061477801;392.4;510.7;0.0;0.0;0.0;0.0;0.0;0.0;180.62;2
2575;25 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;0.5;Sim;442.0;453.7;388.3;411.2;120.0;120.0;80.0;100.0;0.0;420.0;423.03999999999996;4
2576;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2615706;Triunfo;Espanhol;Sem problemas;0.5;Não;423.8;413.5;463.1;411.0;120.0;120.0;120.0;120.0;20.0;500.0;442.28000000000003;4
2577;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2604106;Caruaru;Inglês;Sem problemas;1.5;Sim;516.5;567.5;638.3;603.3;160.0;200.0;120.0;200.0;200.0;880.0;641.12;4
2578;22 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2609600;Olinda;Espanhol;Sem problemas;0.5;Sim;438.8;375.5;388.0;566.0;100.0;40.0;40.0;120.0;40.0;340.0;421.66;4
2579;Menor de 17 anos;F;Branca;Não concluí e não estou cursando o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;7.0;Sim;417.6;443.1;435.5;442.5;140.0;180.0;120.0;120.0;180.0;740.0;495.73999999999995;4
2580;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;0.5;Sim;578.0;544.5;546.4;553.2;160.0;140.0;120.0;160.0;140.0;720.0;588.4200000000001;4
2581;19 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2604106;Caruaru;Inglês;Sem problemas;0.5;Sim;492.9;580.7;606.4;491.9;120.0;200.0;120.0;160.0;180.0;780.0;590.38;4
2582;17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611101;Petrolina;Espanhol;Sem problemas;0.5;Sim;471.4;417.8;477.9;536.6;140.0;120.0;160.0;160.0;160.0;740.0;528.74;4
2583;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2600203;Afrânio;Espanhol;Sem problemas;1.0;Sim;550.5;545.4;567.1;556.0;140.0;200.0;160.0;200.0;180.0;880.0;619.8;4
2584;Menor de 17 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2605202;Escada;Inglês;Sem problemas;1.5;Sim;430.7;452.4;483.7;513.6;160.0;200.0;120.0;180.0;140.0;800.0;536.08;4
2585;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;0.0;Sim;402.6;420.6;536.9;484.2;120.0;120.0;80.0;100.0;0.0;420.0;452.86;4
2586;19 anos;F;Amarela;Já concluí o EM;Não respondeu;Não Consta;2609600;Olinda;Espanhol;Sem problemas;2.5;Sim;490.6;635.5;531.9;499.4;180.0;200.0;200.0;200.0;200.0;980.0;627.48;4
2587;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;445.1;454.1;523.5;481.3;140.0;200.0;140.0;160.0;120.0;760.0;532.8;4
2588;18 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2611903;Rio Formoso;Espanhol;Sem problemas;0.5;Sim;571.8;676.4;637.3;567.6;160.0;200.0;160.0;160.0;180.0;860.0;662.62;4
2589;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2607901;Jaboatão dos Guararapes;Inglês;Sem problemas;2.5;Sim;604.5;631.9;595.0;568.7;140.0;200.0;140.0;160.0;180.0;820.0;644.02;4
2590;20 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2614501;Surubim;Espanhol;Sem problemas;0.5;Sim;433.4;561.6;593.5;509.4;120.0;140.0;120.0;120.0;80.0;580.0;535.58;4
2591;17 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Privada;Não Consta;2611606;Recife;Inglês;Sem problemas;2.5;Sim;609.0;578.3;629.9;587.3;120.0;120.0;120.0;100.0;180.0;640.0;608.9;4
2592;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2603900;Carnaíba;Inglês;Sem problemas;0.5;Não;519.5;634.0;586.5;540.3;160.0;120.0;120.0;160.0;120.0;680.0;592.0600000000001;4
2593;19 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2604205;Catende;Espanhol;Sem problemas;0.5;Não;522.1;399.2;538.6;506.4;100.0;160.0;120.0;120.0;160.0;660.0;525.26;4
2594;Entre 31 e 35 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2604106;Caruaru;Espanhol;Sem problemas;1.5;Sim;428.8;571.4;461.9;399.8;80.0;120.0;120.0;120.0;80.0;520.0;476.38;4
2595;18 anos;F;Parda;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2611606;Recife;Inglês;Sem problemas;2.5;Sim;527.0;683.1;596.0;542.6;100.0;200.0;100.0;120.0;140.0;660.0;601.74;4
2596;17 anos;F;Branca;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2611804;Ribeirão;Espanhol;Sem problemas;0.5;Sim;434.0;425.3;470.2;518.2;120.0;160.0;120.0;140.0;180.0;720.0;513.54;4
2597;Entre 26 e 30 anos;F;Preta;Já concluí o EM;Não respondeu;Não Consta;2605202;Escada;Espanhol;Em Branco;0.5;Sim;485.3;510.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;199.1;4
2598;19 anos;M;Parda;Estou cursando e concluirei o EM em 2021;Público;Não Consta;2606002;Garanhuns;Espanhol;Fuga ao tema;1.0;Sim;435.2;382.1;513.7;397.2;0.0;0.0;0.0;0.0;0.0;0.0;345.6400000000001;4
2599;Entre 36 e 40 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2611804;Ribeirão;Inglês;Sem problemas;1.5;Sim;512.6;475.9;584.3;526.9;120.0;120.0;120.0;120.0;0.0;480.0;515.94;4
2600;18 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;9.0;Sim;589.9;586.4;584.1;582.7;120.0;200.0;140.0;160.0;160.0;780.0;624.62;4
2601;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;2.5;Sim;569.5;617.3;610.6;561.7;160.0;200.0;120.0;160.0;200.0;840.0;639.8199999999999;4
2602;22 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;1.0;Sim;463.6;435.0;465.0;500.3;120.0;40.0;40.0;120.0;40.0;360.0;444.78000000000003;4
2603;Entre 41 e 45 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2603454;Camaragibe;Espanhol;Sem problemas;0.0;Sim;476.2;372.7;461.5;460.7;140.0;120.0;120.0;80.0;80.0;540.0;462.2200000000001;4
2604;18 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Rural;2603454;Camaragibe;Espanhol;Sem problemas;0.5;Sim;486.2;421.0;556.8;514.4;140.0;120.0;120.0;120.0;100.0;600.0;515.6800000000001;4
2605;19 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2609600;Olinda;Inglês;Em Branco;0.5;Sim;435.6603444904573;498.091442050821;399.5;506.1;0.0;0.0;0.0;0.0;0.0;0.0;181.12;2
2606;19 anos;M;Branca;Já concluí o EM;Não respondeu;Não Consta;2601904;Bezerros;Inglês;Sem problemas;0.5;Sim;488.7;565.0;545.8;518.8;120.0;160.0;120.0;120.0;120.0;640.0;551.6600000000001;4
2607;19 anos;M;Parda;Já concluí o EM;Não respondeu;Não Consta;2615300;Timbaúba;Espanhol;Sem problemas;3.0;Sim;473.5;424.9;442.0;477.3;140.0;200.0;160.0;140.0;160.0;800.0;523.54;4
2608;Entre 31 e 35 anos;F;Parda;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Inglês;Sem problemas;0.0;Sim;488.4986010984035;584.0991786273037;539.9;507.6;120.0;120.0;120.0;120.0;100.0;580.0;325.5;2
2609;25 anos;F;Amarela;Já concluí o EM;Não respondeu;Não Consta;2611101;Petrolina;Inglês;Sem problemas;2.5;Sim;617.9;720.9;611.4;526.6;160.0;200.0;140.0;160.0;140.0;800.0;655.36;4
2610;19 anos;F;Branca;Já concluí o EM;Não respondeu;Não Consta;2611606;Recife;Espanhol;Sem problemas;2.5;Sim;562.7;683.7;608.8;593.8;160.0;200.0;180.0;180.0;160.0;880.0;665.8;4
2611;18 anos;M;Branca;Estou cursando e concluirei o EM em 2021;Privada;Urbana;2604106;Caruaru;Inglês;Sem problemas;3.0;Sim;526.5;645.5;562.0;529.0;160.0;120.0;140.0;160.0;200.0;780.0;608.6;4
2612;17 anos;F;Preta;Estou cursando e concluirei o EM em 2021;Público;Urbana;2611606;Recife;Inglês;Sem problemas;4.0;Sim;516.9;503.5;504.8;576.5;100.0;120.0;120.0;100.0;120.0;560.0;532.3399999999999;4
